Name;ISIN;Symbol;Market;Currency;Open Price;High Price;low Price;last Price;last Trade MIC Time;Time Zone;Volume;Turnover;Closing Price;Closing Price DateTime
European Equities;;;;;;;;;;;;;;
01-juin-23;;;;;;;;;;;;;;
All datapoints provided as of end of last active trading day.;;;;;;;;;;;;;;
ARCADIS;NL0006237562;ARCAD;Euronext Amsterdam;EUR;38,4;38,4;37,68;37,94;31/05/2023 17:36;CET;201639;7664701,44;37,94;31/05/2023
ARCELORMITTAL SA;LU1598757687;MT;Euronext Amsterdam, Paris;EUR;23,43;23,715;23,095;23,23;31/05/2023 17:35;CET;7306187;170948884,6;23,23;31/05/2023
ARGAN;FR0010481960;ARG;Euronext Paris;EUR;70,4;71,1;70;70;31/05/2023 17:37;CET;15179;1064562,1;70;31/05/2023
ARGENX SE;NL0010832176;ARGX;Euronext Brussels;EUR;368,9;372,2;364;364,6;31/05/2023 17:35;CET;365556;133371683,9;364,6;31/05/2023
ARKEMA;FR0010313833;AKE;Euronext Paris;EUR;82,72;82,72;80,16;81,5;31/05/2023 17:35;CET;527914;43019665,26;81,5;31/05/2023
ARTEA;FR0012185536;ARTE;Euronext Paris;EUR;22,2;22,6;22;22,6;31/05/2023 12:41;CET;255;5722;22,6;31/05/2023
ARTMARKET COM;FR0000074783;PRC;Euronext Paris;EUR;6,62;6,8;6,56;6,8;31/05/2023 17:35;CET;3944;26127,19;6,8;31/05/2023
ARTOIS NOM.;FR0000076952;ARTO;Euronext Paris;EUR;4780;4780;4780;4780;30/05/2023 17:14;CET;8;38240;4780;31/05/2023
ASCENCIO;BE0003856730;ASCE;Euronext Brussels;EUR;48,6;49;48,6;48,8;31/05/2023 17:35;CET;2259;110166,25;48,8;31/05/2023
ASM INTERNATIONAL;NL0000334118;ASM;Euronext Amsterdam;EUR;404,8;412,7;399,7;405,4;31/05/2023 17:35;CET;330361;134114431,5;405,4;31/05/2023
ASML HOLDING;NL0010273215;ASML;Euronext Amsterdam;EUR;679,4;685,5;669,8;671,5;31/05/2023 17:37;CET;1149923;775898287,1;671,5;31/05/2023
ASR NEDERLAND;NL0011872643;ASRNL;Euronext Amsterdam;EUR;40,57;40,69;39,8;39,8;31/05/2023 17:35;CET;868005;34705525,85;39,8;31/05/2023
ASSYSTEM;FR0000074148;ASY;Euronext Paris;EUR;45;45,2;44,5;44,6;31/05/2023 17:35;CET;3096;138709,5;44,6;31/05/2023
ATEME;FR0011992700;ATEME;Euronext Paris;EUR;9,82;9,82;9,8;9,8;31/05/2023 17:35;CET;76;744,82;9,8;31/05/2023
ATENOR;BE0003837540;ATEB;Euronext Brussels;EUR;24,2;25;23,4;24;31/05/2023 17:35;CET;9402;226165,2;24;31/05/2023
ATLAND;FR0013455482;ATLD;Euronext Paris;EUR;40;40;40;40;31/05/2023 09:00;CET;15;600;40;31/05/2023
